epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,768.148,1.71088,1.48766,1.62313,1.45774,0.70897,0.73288,0.86455,0.39389,0.70897,0.73288,0.86455,0.32388,1.13514,0.89955,0.91888,0.97446,0.00188507,0.00188507,0.00188507
113,775.001,1.33972,1.19095,1.30353,1.11929,0.66418,0.9,0.87513,0.38863,0.66418,0.9,0.87513,0.3619,1.06316,0.83214,0.93377,0.94997,0.00188304,0.00188304,0.00188304
114,781.823,1.18961,1.08514,1.11621,1.00748,0.96949,0.6,0.79583,0.37578,0.6664,0.99886,0.88667,0.37216,1.04107,0.84408,0.93759,0.93747,0.00188101,0.00188101,0.00188101
115,788.635,1.55056,1.22752,1.34373,1.29661,0.8815,0.74677,0.86337,0.38277,0.87905,0.72918,0.88559,0.35653,1.0006,0.83365,0.91516,0.92158,0.00187896,0.00187896,0.00187896
116,795.813,1.33873,1.03551,1.17151,1.1771,0.70936,0.5,0.65439,0.26747,0.86386,0.6,0.74872,0.28464,1.11407,0.89184,1.05807,1.11873,0.00187689,0.00187689,0.00187689
117,802.472,1.34693,1.17104,1.2658,1.24525,0.84354,0.7,0.73656,0.2859,0.88108,0.74378,0.81819,0.33484,1.12988,0.88708,0.99248,1.09183,0.0018748,0.0018748,0.0018748
118,809.275,1.3899,1.07432,1.25739,1.18926,0.82378,0.6,0.75839,0.2829,0.96743,0.7,0.83597,0.26579,1.22812,1.05776,0.94226,1.07498,0.0018727,0.0018727,0.0018727
119,816.097,1.41885,1.1533,1.3408,1.22205,0.86359,0.8,0.87903,0.28238,0.86359,0.8,0.89887,0.33678,1.16608,0.81583,0.88202,1.04344,0.00187059,0.00187059,0.00187059
120,823.218,1.33289,1.11538,1.29191,1.1461,0.7148,0.8,0.8402,0.41636,0.7148,0.8,0.8402,0.35002,1.06599,0.84869,0.91226,0.91609,0.00186846,0.00186846,0.00186846
121,829.86,1.32833,1.14521,1.26212,1.14408,0.87182,0.8,0.88944,0.35298,0.87182,0.8,0.88944,0.36415,1.04093,0.82686,0.95511,0.97859,0.00186631,0.00186631,0.00186631
122,836.494,1.22414,0.98968,1.04051,1.04891,0.94986,0.7,0.73142,0.40054,0.94986,0.7,0.74087,0.36429,0.9488,0.88939,1.0689,0.91881,0.00186415,0.00186415,0.00186415
123,843.27,1.48873,1.28437,1.401,1.2968,1,0.69624,0.83972,0.38077,1,0.69624,0.89857,0.31873,1.12661,0.96028,0.79533,0.98305,0.00186197,0.00186197,0.00186197
124,849.849,1.28831,1.22565,1.36702,1.17354,0.97224,0.8,0.85429,0.39009,0.74076,0.7,0.76833,0.29164,1.22499,0.89393,0.93337,0.99352,0.00185978,0.00185978,0.00185978
125,856.421,1.34091,1.07997,1.22522,1.11125,0.95658,0.8,0.83312,0.37468,0.82672,0.7,0.76605,0.28536,1.2083,0.87946,0.9791,0.97306,0.00185757,0.00185757,0.00185757
